"IDNgrid","IDgrid","n"
"448","(43.778,43.785].(-79.39,-79.38]",14
"449","(43.785,43.792].(-79.39,-79.38]",21
"45","(43.693,43.699].(-79.59,-79.57]",15
"450","(43.792,43.798].(-79.39,-79.38]",22
"451","(43.798,43.805].(-79.39,-79.38]",7
"452","(43.805,43.811].(-79.39,-79.38]",1
"453","(43.633,43.64].(-79.38,-79.37]",6
"454","(43.64,43.647].(-79.38,-79.37]",35
"455","(43.647,43.653].(-79.38,-79.37]",96
"456","(43.653,43.66].(-79.38,-79.37]",141
"457","(43.66,43.666].(-79.38,-79.37]",97
"458","(43.666,43.673].(-79.38,-79.37]",118
"459","(43.673,43.68].(-79.38,-79.37]",10
"46","(43.699,43.706].(-79.59,-79.57]",37
"460","(43.68,43.686].(-79.38,-79.37]",12
"461","(43.686,43.693].(-79.38,-79.37]",21
"462","(43.693,43.699].(-79.38,-79.37]",12
"463","(43.699,43.706].(-79.38,-79.37]",22
"464","(43.706,43.712].(-79.38,-79.37]",13
"465","(43.712,43.719].(-79.38,-79.37]",13
"466","(43.719,43.726].(-79.38,-79.37]",9
"467","(43.732,43.739].(-79.38,-79.37]",1
"468","(43.739,43.745].(-79.38,-79.37]",1
"469","(43.745,43.752].(-79.38,-79.37]",7
"47","(43.706,43.712].(-79.59,-79.57]",32
"470","(43.752,43.759].(-79.38,-79.37]",11
"471","(43.759,43.765].(-79.38,-79.37]",8
"472","(43.765,43.772].(-79.38,-79.37]",17
"473","(43.772,43.778].(-79.38,-79.37]",8
"474","(43.778,43.785].(-79.38,-79.37]",3
"475","(43.785,43.792].(-79.38,-79.37]",3
"476","(43.792,43.798].(-79.38,-79.37]",7
"477","(43.798,43.805].(-79.38,-79.37]",18
"478","(43.805,43.811].(-79.38,-79.37]",5
"479","(43.64,43.647].(-79.37,-79.36]",3
"48","(43.712,43.719].(-79.59,-79.57]",85
"480","(43.647,43.653].(-79.37,-79.36]",36
"481","(43.653,43.66].(-79.37,-79.36]",72
"482","(43.66,43.666].(-79.37,-79.36]",68
"483","(43.666,43.673].(-79.37,-79.36]",10
"484","(43.673,43.68].(-79.37,-79.36]",16
"485","(43.68,43.686].(-79.37,-79.36]",8
"486","(43.686,43.693].(-79.37,-79.36]",5
"487","(43.693,43.699].(-79.37,-79.36]",8
"488","(43.699,43.706].(-79.37,-79.36]",28
"489","(43.706,43.712].(-79.37,-79.36]",10
"49","(43.719,43.726].(-79.59,-79.57]",30
"490","(43.712,43.719].(-79.37,-79.36]",20
"491","(43.732,43.739].(-79.37,-79.36]",2
"492","(43.739,43.745].(-79.37,-79.36]",4
"493","(43.745,43.752].(-79.37,-79.36]",13
"494","(43.752,43.759].(-79.37,-79.36]",17
"495","(43.759,43.765].(-79.37,-79.36]",5
"496","(43.765,43.772].(-79.37,-79.36]",40
"497","(43.772,43.778].(-79.37,-79.36]",10
"498","(43.778,43.785].(-79.37,-79.36]",16
"499","(43.785,43.792].(-79.37,-79.36]",36
"5","(43.739,43.745].(-79.63,-79.61]",23
"50","(43.726,43.732].(-79.59,-79.57]",28
"500","(43.792,43.798].(-79.37,-79.36]",21
"501","(43.798,43.805].(-79.37,-79.36]",22
"502","(43.805,43.811].(-79.37,-79.36]",10
"503","(43.811,43.818].(-79.37,-79.36]",1
"504","(43.633,43.64].(-79.36,-79.34]",4
"505","(43.64,43.647].(-79.36,-79.34]",18
"506","(43.647,43.653].(-79.36,-79.34]",6
"507","(43.653,43.66].(-79.36,-79.34]",31
"508","(43.66,43.666].(-79.36,-79.34]",33
"509","(43.666,43.673].(-79.36,-79.34]",19
"51","(43.732,43.739].(-79.59,-79.57]",51
"510","(43.673,43.68].(-79.36,-79.34]",42
"511","(43.68,43.686].(-79.36,-79.34]",26
"512","(43.686,43.693].(-79.36,-79.34]",26
"513","(43.693,43.699].(-79.36,-79.34]",11
"514","(43.699,43.706].(-79.36,-79.34]",26
"515","(43.706,43.712].(-79.36,-79.34]",11
"516","(43.712,43.719].(-79.36,-79.34]",11
"517","(43.726,43.732].(-79.36,-79.34]",5
"518","(43.732,43.739].(-79.36,-79.34]",19
"519","(43.739,43.745].(-79.36,-79.34]",5
"52","(43.739,43.745].(-79.59,-79.57]",37
"520","(43.745,43.752].(-79.36,-79.34]",8
"521","(43.752,43.759].(-79.36,-79.34]",4
"522","(43.759,43.765].(-79.36,-79.34]",20
"523","(43.765,43.772].(-79.36,-79.34]",28
"524","(43.772,43.778].(-79.36,-79.34]",95
"525","(43.778,43.785].(-79.36,-79.34]",23
"526","(43.785,43.792].(-79.36,-79.34]",12
"527","(43.792,43.798].(-79.36,-79.34]",20
"528","(43.798,43.805].(-79.36,-79.34]",27
"529","(43.805,43.811].(-79.36,-79.34]",4
"53","(43.745,43.752].(-79.59,-79.57]",60
"530","(43.64,43.647].(-79.34,-79.33]",3
"531","(43.647,43.653].(-79.34,-79.33]",1
"532","(43.653,43.66].(-79.34,-79.33]",15
"533","(43.66,43.666].(-79.34,-79.33]",23
"534","(43.666,43.673].(-79.34,-79.33]",38
"535","(43.673,43.68].(-79.34,-79.33]",12
"536","(43.68,43.686].(-79.34,-79.33]",58
"537","(43.686,43.693].(-79.34,-79.33]",16
"538","(43.693,43.699].(-79.34,-79.33]",10
"539","(43.706,43.712].(-79.34,-79.33]",13
"54","(43.752,43.759].(-79.59,-79.57]",24
"540","(43.712,43.719].(-79.34,-79.33]",17
"541","(43.719,43.726].(-79.34,-79.33]",10
"542","(43.726,43.732].(-79.34,-79.33]",10
"543","(43.732,43.739].(-79.34,-79.33]",4
"544","(43.739,43.745].(-79.34,-79.33]",4
"545","(43.745,43.752].(-79.34,-79.33]",4
"546","(43.752,43.759].(-79.34,-79.33]",17
"547","(43.759,43.765].(-79.34,-79.33]",20
"548","(43.765,43.772].(-79.34,-79.33]",11
"549","(43.772,43.778].(-79.34,-79.33]",30
"55","(43.759,43.765].(-79.59,-79.57]",6
"550","(43.778,43.785].(-79.34,-79.33]",17
"551","(43.785,43.792].(-79.34,-79.33]",14
"552","(43.792,43.798].(-79.34,-79.33]",22
"553","(43.798,43.805].(-79.34,-79.33]",13
"554","(43.805,43.811].(-79.34,-79.33]",6
"555","(43.811,43.818].(-79.34,-79.33]",11
"556","(43.647,43.653].(-79.33,-79.32]",2
"557","(43.66,43.666].(-79.33,-79.32]",18
"558","(43.666,43.673].(-79.33,-79.32]",38
"559","(43.673,43.68].(-79.33,-79.32]",30
"56","(43.607,43.614].(-79.57,-79.56]",9
"560","(43.68,43.686].(-79.33,-79.32]",26
"561","(43.686,43.693].(-79.33,-79.32]",14
"562","(43.693,43.699].(-79.33,-79.32]",7
"563","(43.699,43.706].(-79.33,-79.32]",3
"564","(43.706,43.712].(-79.33,-79.32]",10
"565","(43.712,43.719].(-79.33,-79.32]",11
"566","(43.719,43.726].(-79.33,-79.32]",4
"567","(43.726,43.732].(-79.33,-79.32]",16
"568","(43.732,43.739].(-79.33,-79.32]",2
"569","(43.739,43.745].(-79.33,-79.32]",14
"57","(43.614,43.62].(-79.57,-79.56]",10
"570","(43.745,43.752].(-79.33,-79.32]",10
"571","(43.752,43.759].(-79.33,-79.32]",11
"572","(43.759,43.765].(-79.33,-79.32]",36
"573","(43.765,43.772].(-79.33,-79.32]",10
"574","(43.772,43.778].(-79.33,-79.32]",22
"575","(43.778,43.785].(-79.33,-79.32]",22
"576","(43.785,43.792].(-79.33,-79.32]",16
"577","(43.792,43.798].(-79.33,-79.32]",29
"578","(43.798,43.805].(-79.33,-79.32]",12
"579","(43.805,43.811].(-79.33,-79.32]",32
"58","(43.627,43.633].(-79.57,-79.56]",19
